id_cliente,id_operacion
138,1
138,2
138,3
138,4
7,5
7,6
7,7
7,8
147,9
147,10
12,11
12,12
12,13
12,14
207,15
207,16
207,17
98,18
98,19
119,20
119,21
119,22
130,23
130,24
130,25
130,26
207,27
207,28
207,29
207,30
97,31
97,32
97,33
97,34
163,35
163,36
99,37
99,38
46,39
46,40
80,41
80,42
80,43
119,44
119,45
119,46
210,47
210,48
210,49
210,50
45,51
45,52
25,53
25,54
25,55
25,56
99,57
99,58
99,59
99,60
110,61
110,62
110,63
110,64
170,65
170,66
170,67
170,68
23,69
23,70
31,71
31,72
31,73
31,74
23,75
23,76
23,77
23,78
16,79
16,80
16,81
16,82
3,83
3,84
3,85
111,86
111,87
111,88
111,89
111,90
111,91
111,92
93,93
93,94
22,95
22,96
52,97
52,98
52,99
40,100
40,101
40,102
40,103
191,104
191,105
49,106
49,107
71,108
71,109
115,110
115,111
115,112
115,113
63,114
63,115
63,116
63,117
38,118
38,119
38,120
38,121
162,122
162,123
162,124
162,125
139,126
139,127
139,128
139,129
9,130
9,131
9,132
101,133
101,134
37,135
37,136
37,137
37,138
143,139
143,140
35,141
35,142
35,143
35,144
203,145
203,146
43,147
43,148
120,149
120,150
120,151
120,152
148,153
148,154
148,155
86,156
86,157
86,158
161,159
161,160
161,161
98,162
98,163
98,164
45,165
45,166
45,167
45,168
200,169
200,170
28,171
28,172
28,173
92,174
92,175
171,176
171,177
171,178
6,179
6,180
84,181
84,182
84,183
84,184
108,185
108,186
108,187
31,188
31,189
31,190
31,191
110,192
110,193
48,194
48,195
48,196
90,197
90,198
90,199
90,200
190,201
190,202
137,203
137,204
137,205
76,206
76,207
146,208
146,209
146,210
210,211
210,212
210,213
47,214
47,215
47,216
142,217
142,218
142,219
142,220
175,221
175,222
175,223
181,224
181,225
181,226
181,227
129,228
129,229
202,230
202,231
202,232
202,233
65,234
65,235
65,236
191,237
191,238
191,239
71,240
71,241
71,242
51,243
51,244
51,245
51,246
142,247
142,248
142,249
25,250
25,251
61,252
61,253
169,254
169,255
169,256
169,257
94,258
94,259
94,260
94,261
55,262
55,263
55,264
161,265
161,266
161,267
161,268
58,269
58,270
58,271
171,272
171,273
206,274
206,275
206,276
206,277
76,278
76,279
28,280
28,281
28,282
124,283
124,284
124,285
124,286
48,287
48,288
48,289
48,290
163,291
163,292
64,293
64,294
64,295
64,296
132,297
132,298
132,299
132,300
197,301
197,302
197,303
197,304
167,305
167,306
167,307
167,308
61,309
61,310
61,311
109,312
109,313
16,314
16,315
85,316
85,317
85,318
69,319
69,320
69,321
95,322
95,323
95,324
95,325
145,326
145,327
154,328
154,329
154,330
174,331
174,332
174,333
121,334
121,335
121,336
12,337
12,338
40,339
40,340
208,341
208,342
208,343
41,344
41,345
179,346
179,347
179,348
179,349
136,350
136,351
148,352
148,353
187,354
187,355
52,356
52,357
52,358
55,359
55,360
55,361
55,362
143,363
143,364
143,365
143,366
11,367
11,368
163,369
163,370
70,371
70,372
70,373
120,374
120,375
120,376
42,377
42,378
42,379
20,380
20,381
20,382
20,383
38,384
38,385
38,386
38,387
96,388
96,389
96,390
96,391
78,392
78,393
78,394
136,395
136,396
105,397
105,398
195,399
195,400
156,401
156,402
159,403
159,404
159,405
51,406
51,407
51,408
51,409
186,410
186,411
186,412
189,413
189,414
189,415
66,416
66,417
66,418
66,419
189,420
189,421
189,422
189,423
198,424
198,425
198,426
198,427
135,428
135,429
135,430
135,431
121,432
121,433
121,434
128,435
128,436
128,437
35,438
35,439
35,440
35,441
154,442
154,443
154,444
154,445
60,446
60,447
60,448
60,449
173,450
173,451
173,452
105,453
105,454
105,455
105,456
186,457
186,458
186,459
175,460
175,461
108,462
108,463
108,464
108,465
107,466
107,467
26,468
26,469
57,470
57,471
57,472
57,473
68,474
68,475
68,476
68,477
132,478
132,479
132,480
63,481
63,482
63,483
81,484
81,485
81,486
114,487
114,488
114,489
37,490
37,491
11,492
11,493
11,494
11,495
20,496
20,497
117,498
117,499
117,500
32,501
32,502
24,503
24,504
24,505
32,506
32,507
32,508
190,509
190,510
190,511
146,512
146,513
158,514
158,515
158,516
158,517
34,518
34,519
34,520
60,521
60,522
60,523
60,524
133,525
133,526
133,527
41,528
41,529
138,530
138,531
149,532
149,533
113,534
113,535
113,536
113,537
137,538
137,539
167,540
167,541
167,542
30,543
30,544
103,545
103,546
103,547
103,548
166,549
166,550
155,551
155,552
62,553
62,554
62,555
84,556
84,557
113,558
113,559
113,560
113,561
172,562
172,563
172,564
69,565
69,566
69,567
81,568
81,569
127,570
127,571
127,572
127,573
64,574
64,575
165,576
165,577
141,578
141,579
141,580
114,581
114,582
114,583
24,584
24,585
24,586
4,587
4,588
129,589
129,590
7,591
7,592
7,593
7,594
33,595
33,596
39,597
39,598
172,599
172,600
62,601
62,602
62,603
62,604
100,605
100,606
100,607
100,608
33,609
33,610
33,611
33,612
130,613
130,614
130,615
130,616
70,617
70,618
170,619
170,620
170,621
170,622
149,623
149,624
149,625
149,626
74,627
74,628
74,629
74,630
58,631
58,632
29,633
29,634
29,635
67,636
67,637
67,638
67,639
124,640
124,641
160,642
160,643
160,644
160,645
96,646
96,647
96,648
96,649
49,650
49,651
49,652
206,653
206,654
206,655
206,656
184,657
184,658
127,659
127,660
127,661
197,662
197,663
188,664
188,665
151,666
151,667
151,668
151,669
2,670
2,671
82,672
82,673
82,674
82,675
2,676
2,677
42,678
42,679
106,680
106,681
106,682
106,683
21,684
21,685
87,686
87,687
30,688
30,689
30,690
112,691
112,692
43,693
43,694
43,695
43,696
200,697
200,698
200,699
200,700
6,701
6,702
6,703
166,704
166,705
166,706
166,707
47,708
47,709
47,710
47,711
147,712
147,713
147,714
147,715
182,716
182,717
39,718
39,719
46,720
46,721
46,722
50,723
50,724
50,725
50,726
187,727
187,728
187,729
4,730
4,731
4,732
157,733
157,734
157,735
160,736
160,737
160,738
160,739
188,740
188,741
188,742
188,743
135,744
135,745
101,746
101,747
91,748
91,749
91,750
91,751
86,752
86,753
86,754
86,755
1,756
1,757
198,758
198,759
198,760
198,761
204,762
204,763
204,764
203,765
203,766
203,767
136,768
136,769
180,770
180,771
180,772
29,773
29,774
145,775
145,776
145,777
145,778
104,779
104,780
104,781
104,782
100,783
100,784
100,785
77,786
77,787
109,788
109,789
109,790
176,791
176,792
176,793
101,794
101,795
101,796
14,797
14,798
201,799
201,800
201,801
68,802
68,803
68,804
74,805
74,806
74,807
74,808
208,809
208,810
208,811
208,812
19,813
19,814
34,815
34,816
34,817
34,818
36,819
36,820
21,821
21,822
21,823
21,824
164,825
164,826
164,827
156,828
156,829
156,830
82,831
82,832
82,833
82,834
184,835
184,836
91,837
91,838
91,839
91,840
117,841
117,842
117,843
18,844
18,845
204,846
204,847
204,848
26,849
26,850
26,851
87,852
87,853
87,854
128,855
128,856
174,857
174,858
174,859
174,860
183,861
183,862
183,863
178,864
178,865
116,866
116,867
116,868
116,869
79,870
79,871
177,872
177,873
177,874
205,875
205,876
184,877
184,878
184,879
1,880
1,881
168,882
168,883
209,884
209,885
209,886
209,887
103,888
103,889
54,890
54,891
54,892
67,893
67,894
67,895
67,896
209,897
209,898
209,899
209,900
169,901
169,902
126,903
126,904
126,905
126,906
90,907
90,908
195,909
195,910
195,911
195,912
157,913
157,914
157,915
157,916
39,917
39,918
50,919
50,920
50,921
205,922
205,923
129,924
129,925
133,926
133,927
133,928
92,929
92,930
92,931
162,932
162,933
162,934
201,935
201,936
202,937
202,938
202,939
202,940
141,941
141,942
76,943
76,944
76,945
76,946
57,947
57,948
15,949
15,950
15,951
185,952
185,953
185,954
185,955
178,956
178,957
178,958
116,959
116,960
116,961
107,962
107,963
107,964
107,965
95,966
95,967
95,968
106,969
106,970
106,971
83,972
83,973
144,974
144,975
144,976
88,977
88,978
88,979
88,980
182,981
182,982
183,983
183,984
115,985
115,986
173,987
173,988
173,989
2,990
2,991
2,992
2,993
5,994
5,995
5,996
5,997
79,998
79,999
79,1000
